2歳未勝利,2018年07月28日 ,芝右1800m, 晴,札幌
3歳未勝利,2018年07月28日 ,ダ右1000m, 晴,札幌
3歳未勝利,2018年07月28日 ,ダ右2400m, 晴,札幌
3歳未勝利,2018年07月28日 ,ダ右1700m, 晴,札幌
2歳新馬,2018年07月28日 ,芝右1500m, 晴,札幌
3歳未勝利,2018年07月28日 ,芝右2000m, 晴,札幌
3歳上500万下,2018年07月28日 ,ダ右1000m, 晴,札幌
3歳上500万下,2018年07月28日 ,芝右1200m, 晴,札幌
3歳上500万下,2018年07月28日 ,ダ右1700m, 晴,札幌
羊ヶ丘特別,2018年07月28日 ,芝右1500m, 晴,札幌
TVh賞,2018年07月28日 ,芝右1800m, 晴,札幌
北海道150年記念,2018年07月28日 ,芝右2600m, 晴,札幌
2歳未勝利,2018年07月29日 ,芝右1200m, 晴,札幌
3歳未勝利,2018年07月29日 ,ダ右1000m, 晴,札幌
3歳未勝利,2018年07月29日 ,ダ右1700m, 晴,札幌
3歳未勝利,2018年07月29日 ,芝右1500m, 晴,札幌
2歳新馬,2018年07月29日 ,芝右1800m, 晴,札幌
2歳新馬,2018年07月29日 ,ダ右1700m, 晴,札幌
3歳上500万下,2018年07月29日 ,芝右2000m, 晴,札幌
3歳上500万下,2018年07月29日 ,ダ右1700m, 晴,札幌
北辰特別,2018年07月29日 ,芝右1800m, 晴,札幌
ポプラ特別,2018年07月29日 ,ダ右1700m, 晴,札幌
クイーンステークス,2018年07月29日 ,芝右1800m, 晴,札幌
道新スポーツ賞,2018年07月29日 ,芝右1500m, 晴,札幌
2歳未勝利,2018年08月04日 ,ダ右1000m, 曇,札幌
3歳未勝利,2018年08月04日 ,ダ右1700m, 曇,札幌
3歳未勝利,2018年08月04日 ,芝右1200m, 曇,札幌
3歳未勝利,2018年08月04日 ,ダ右1700m, 晴,札幌
2歳新馬,2018年08月04日 ,芝右1200m, 晴,札幌
3歳未勝利,2018年08月04日 ,芝右2600m, 晴,札幌
3歳上500万下,2018年08月04日 ,ダ右1000m, 晴,札幌
3歳上500万下,2018年08月04日 ,芝右2000m, 晴,札幌
3歳上500万下,2018年08月04日 ,ダ右1700m, 晴,札幌
十勝岳特別,2018年08月04日 ,芝右1800m, 曇,札幌
札幌日経オープン,2018年08月04日 ,芝右2600m, 曇,札幌
HBC賞,2018年08月04日 ,芝右1200m, 曇,札幌
2歳未勝利,2018年08月05日 ,芝右1500m, 曇,札幌
3歳未勝利,2018年08月05日 ,ダ右1000m, 曇,札幌
3歳未勝利,2018年08月05日 ,ダ右1700m, 曇,札幌
3歳未勝利,2018年08月05日 ,芝右2000m, 曇,札幌
2歳新馬,2018年08月05日 ,芝右1800m, 晴,札幌
3歳上500万下,2018年08月05日 ,ダ右2400m, 晴,札幌
3歳上500万下,2018年08月05日 ,ダ右1700m, 晴,札幌
3歳上500万下,2018年08月05日 ,芝右1200m, 晴,札幌
3歳上500万下,2018年08月05日 ,芝右2600m, 晴,札幌
大倉山特別,2018年08月05日 ,ダ右1700m, 晴,札幌
UHB賞,2018年08月05日 ,芝右1200m, 晴,札幌
